id,url,domain,industry,date_explored,findings_count,quality,notes
1,https://en.wikipedia.org/wiki/Prior_authorization,wikipedia.org,Healthcare,2026-03-22,3,High,"Prior auth 88% manual; $23-31B annual cost to US healthcare; physicians 1.1hrs/week, nursing 13.1hrs/week on PA; 800+ services require PA"
2,https://www.cms.gov/newsroom/fact-sheets/cms-interoperability-and-prior-authorization-final-rule-cms-0057-f,cms.gov,Healthcare,2026-03-22,2,High,"CMS final rule requiring electronic PA APIs by Jan 2027; 72hr expedited / 7-day standard decision timeframes; payers must provide specific denial reasons"
3,https://en.wikipedia.org/wiki/Medical_billing,wikipedia.org,Healthcare,2026-03-22,3,High,"Detailed medical billing process: coding (ICD-10/CPT), claim submission, denial management, appeals. Multi-step manual workflow."
4,https://www.changehealthcare.com/insights/denials-index,changehealthcare.com,Healthcare,2026-03-22,1,Medium,"441M+ claim remits analyzed for 1500 hospitals; claim denials trending up; billions in revenue at risk annually"
5,https://en.wikipedia.org/wiki/Know_your_customer,wikipedia.org,Financial Services,2026-03-22,2,High,"KYC involves CIP, CDD, EDD processes; requires identity verification, beneficial owner identification, ongoing monitoring, risk profiling"
6,https://en.wikipedia.org/wiki/Accounts_payable,wikipedia.org,Back-office,2026-03-22,2,High,"1B+ B2B invoices/week in 2009, 97% processed manually; avg cost $5-$15/invoice; 10% paid too late for discounts; 2% contain errors"
7,https://en.wikipedia.org/wiki/Clinical_documentation_improvement,wikipedia.org,Healthcare,2026-03-22,2,High,"CDI bridges providers and coders; 90% of hospitals with strong CDI earned $1.5M+ more in reimbursements; critical for DRG accuracy and value-based payments"
8,https://en.wikipedia.org/wiki/Revenue_cycle_management,wikipedia.org,Healthcare,2026-03-22,1,High,"RCM market $344B globally in 2024; denial management is 'most unwieldy area in patient financial services'"
9,https://en.wikipedia.org/wiki/Contract_lifecycle_management,wikipedia.org,Legal,2026-03-22,2,High,"CLM has 8 lifecycle stages; AI-powered review tools emerging; 65% of enterprises report CLM improved financial/legal risk exposure"
10,https://en.wikipedia.org/wiki/Due_diligence,wikipedia.org,Legal,2026-03-22,1,High,"Due diligence covers 9 audit areas; M&A DD involves financial, legal, labor, tax, IT, environmental review; increasingly complex with FCPA/cybersecurity"
11,https://en.wikipedia.org/wiki/Contract_management,wikipedia.org,Legal,2026-03-22,1,Medium,"Contract management covers creation through termination; 42% of enterprises cite risk mitigation as top driver for CLM improvements"
12,https://en.wikipedia.org/wiki/Onboarding,wikipedia.org,Back-office/HR,2026-03-22,1,Low,"Focused on organizational socialization theory; 25% of US workers are newcomers at any time; limited specific data on paperwork burden"
13,https://en.wikipedia.org/wiki/Human_resource_management,wikipedia.org,Back-office/HR,2026-03-22,1,Medium,"HR historically dominated by transactional work (payroll, benefits admin); now shifting to strategic initiatives but admin burden remains"
14,https://en.wikipedia.org/wiki/Medical_coding,wikipedia.org,Healthcare,2026-03-22,0,Medium,"Overview of coding classification systems (ICD, CPT, HCPCS); foundational reference but no new pain data beyond source #3"
15,https://en.wikipedia.org/wiki/Customs_broker,wikipedia.org,Logistics,2026-03-22,2,High,"Customs brokers handle documentation for imports/exports; must know tariff schedules, agency requirements (FDA, USDA, FWS); complex per-shipment paperwork"
16,https://en.wikipedia.org/wiki/Title_search,wikipedia.org,Real Estate,2026-03-22,2,High,"Title searches involve retrieving physical documents from county records, analyzing chains of title, identifying liens/easements/encumbrances; abstractors compile title abstracts"
17,https://en.wikipedia.org/wiki/Building_permit,wikipedia.org,Construction,2026-03-22,1,Low,"General overview of building permits; limited specific pain data on the application process itself"
18,https://en.wikipedia.org/wiki/Insurance_claim,wikipedia.org,Insurance,2026-03-22,0,Low,"Redirected to general insurance article; no specific claims adjustment process data"
19,https://en.wikipedia.org/wiki/Underwriting,wikipedia.org,Insurance,2026-03-22,1,Medium,"Underwriting involves credit analysis, risk assessment, financial statement review; insurance underwriting requires gathering extensive data from multiple sources"
20,https://en.wikipedia.org/wiki/Accreditation,wikipedia.org,Education,2026-03-22,0,Low,"General accreditation standards article; no specific data on educational accreditation reporting burden"
21,https://en.wikipedia.org/wiki/Grant_writing,wikipedia.org,Nonprofit,2026-03-22,1,Medium,"Grant writing involves proposal creation with 7+ sections; requires audience analysis, literature review, budget, methodology; growing use of third-party grant writers"
22,https://en.wikipedia.org/wiki/Freedom_of_information_in_the_United_States,wikipedia.org,Government,2026-03-22,1,Medium,"FOIA requests processed by federal agencies; policy has seesawed between disclosure and restriction; limited specific data on processing burden"
23,https://en.wikipedia.org/wiki/United_States_Department_of_Agriculture,wikipedia.org,Agriculture,2026-03-22,0,Low,"General USDA overview; $213B budget, 105K employees; limited specific data on reporting/subsidy application pain points"
